Date,Open,High,Low,Close,Volumn
12/9/2009,1563.928031,1571.016612,1556.839449,1557.93,1
12/10/2009,1554.346832,1563.989568,1544.704096,1555.28,1
12/11/2009,1553.199298,1562.054305,1544.344291,1553.51,1
12/14/2009,1551.240762,1562.424234,1540.05729,1553.26,1
12/15/2009,1544.881707,1553.175437,1536.587976,1550.23,1
12/16/2009,1547.879418,1558.816576,1536.942259,1551.37,1
12/17/2009,1556.250161,1567.081805,1545.418516,1558.51,1
12/18/2009,1557.226432,1570.291456,1544.161408,1555.36,1
12/21/2009,1554.321186,1560.592044,1548.050328,1548.36,1
12/22/2009,1545.353467,1546.743868,1543.963066,1544.89,1
12/23/2009,1543.98216,1557.7291,1530.23522,1544.6,1
12/24/2009,1544.943764,1553.571292,1536.316236,1540.63,1
12/28/2009,1538.148417,1539.225444,1537.07139,1538.61,1
12/29/2009,1538.961028,1549.130374,1528.791682,1540.81,1
12/30/2009,1538.418239,1546.364534,1530.471943,1542.97,1
12/31/2009,1536.181082,1540.802102,1531.560062,1540.34,1
1/4/2010,1542.70848,1543.63392,1541.78304,1542.4,1
1/5/2010,1547.96064,1549.66476,1546.25652,1549.2,1
1/6/2010,1548.88346,1558.47982,1539.2871,1547.8,1
1/7/2010,1546.2265,1559.9948,1532.4582,1547,1
1/8/2010,1548.854517,1553.654526,1544.054508,1548.39,1
1/11/2010,1551.326166,1561.007916,1541.644416,1549.08,1
1/12/2010,1550.652042,1557.417336,1543.886748,1555.24,1
1/13/2010,1555.4742,1566.181275,1544.767125,1551.75,1
1/14/2010,1551.318093,1556.141166,1546.49502,1555.83,1
1/15/2010,1555.515927,1565.884474,1545.14738,1559.18,1
1/19/2010,1555.053915,1561.127736,1548.980094,1557.39,1
1/20/2010,1556.541701,1564.654377,1548.429025,1560.13,1
1/21/2010,1565.813255,1571.20695,1560.419559,1563.39,1
1/22/2010,1566.624969,1573.502301,1559.747637,1563.03,1
1/25/2010,1560.079063,1566.714375,1553.44375,1561.25,1
